DE_gene,logFC,AveExpr,t,P.Value
MSTRG.20641|BRIX1,0.040127595,2.620425509,0.216002579,0.833411313
MSTRG.7921|POMT2,-0.068129878,3.463094703,-0.603849465,0.559648908
MSTRG.21904|FARS2,-0.085560867,3.11179288,-0.51945432,0.614962262
MSTRG.24171|MIR6132|ST7|ST7-AS1_2|ST7-OT3_1|ST7-OT3_2|ST7-OT3_3|ST7-OT4|ST7-OT4_1|ST7-OT4_2|ST7-OT4_3|ST7-OT4_4,0.05460667,2.880967358,0.402395758,0.696021881
MSTRG.27289|RP11-111F16.2,-0.056314132,2.640533015,-0.293842437,0.775001824
MSTRG.13266|PRKCSH,0.09846214,4.934946755,0.786864904,0.449954186
MSTRG.5304|ITFG2,-0.065664475,2.986680075,-0.492731086,0.633045164
MSTRG.17206|FAM207A,0.011509222,2.541363331,0.060627882,0.952873047
MSTRG.22985|CCDC28A,-0.055874948,2.466711906,-0.251482517,0.806631194
MSTRG.25523|C8orf82|LRRC24,0.022136666,2.545475711,0.126155322,0.902157331
MSTRG.11560|TUBG2,0.094939288,2.914186832,0.428825905,0.677314785
MSTRG.278|DDI2|RSC1A1,-0.087310578,5.814954763,-0.783762464,0.451689889
MSTRG.14792|REL|RP11-373L24.1,0.03487228,2.369606561,0.160744573,0.875556867
MSTRG.18837|OSBPL11,-0.124785863,5.963804261,-0.781390227,0.453020027
MSTRG.9341|LA16c-407A10.3|NHLRC4|PIGQ,-0.075085994,2.906605037,-0.426200048,0.67916333
ENSG00000280433,-0.038713162,2.593254262,-0.289003006,0.778594761
MSTRG.24807|BAG4,0.008031492,2.40471112,0.0517605,0.959758435
MSTRG.8326|RP11-540B6.6,-0.018908692,2.470431129,-0.102040847,0.920780064
MSTRG.14571|SPAST,0.079416653,3.467469723,0.634899219,0.540020162
MSTRG.12043|SMURF2,0.088020318,3.676422532,0.66126386,0.523670992
MSTRG.10596|ACSF3,-0.105517267,3.40831635,-0.596351628,0.564448431
MSTRG.2972|LINC00843|TIMM23B,-0.118039747,3.630862597,-0.666712465,0.520329187
ENSG00000205060,0.060326112,2.44138169,0.239739177,0.815467863
MSTRG.11039|PEMT,0.044678512,2.745933823,0.324245564,0.752560465
MSTRG.10718|HNRNPA1P16|SRR,0.084814453,2.902942773,0.40583865,0.693572496
MSTRG.14428|TTC32,0.029446133,2.562275115,0.192942536,0.850940314
MSTRG.5635|TMTC1,0.154955736,5.065171512,0.788407977,0.449092525
