ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
MSTRG.23597|DDX56,-0.118938701,4.303624342,-1.077871882,0.306884262,0.780992218,-4.602670992,,FALSE
MSTRG.1382|ST7L,-0.118949744,1.888829384,-0.601913354,0.560886054,0.89211371,-4.648260143,,FALSE
MSTRG.26918|CDK16,-0.11896025,6.76347896,-1.151352656,0.276878747,0.768792193,-4.579011432,,FALSE
MSTRG.21151|WDR36,-0.118966342,3.736435239,-0.851299859,0.414902083,0.834864738,-4.6586037,,FALSE
MSTRG.3353|IDE,-0.118973719,5.767465165,-0.878457865,0.400701892,0.829376217,-4.670837691,,FALSE
MSTRG.8502|ADAL,-0.119003271,3.781264759,-0.480815809,0.641191607,0.922285629,-4.739252926,,FALSE
ENSG00000133958,-0.119077868,0.175003019,-0.416074112,0.686312638,0.933302724,-4.63007074,,FALSE
MSTRG.10623|VPS9D1,-0.119166205,2.792169759,-0.487853039,0.636374123,0.921650221,-4.687995095,,FALSE
MSTRG.16817|NELFCD,-0.119317076,4.649286282,-1.045535963,0.320856306,0.784789764,-4.61613987,,FALSE
MSTRG.14072|SCAF1,-0.119377024,4.391692277,-0.7931446,0.446454352,0.845855483,-4.687963713,,FALSE
MSTRG.13753|SIRT2,-0.119520187,7.394498594,-1.124065221,0.2877413,0.773834301,-4.587068928,,FALSE
MSTRG.26898|RPSAP61,-0.119527851,1.00644457,-0.548340749,0.595716352,0.903864877,-4.633974254,,FALSE
MSTRG.6693|EP400,-0.119559871,4.589413227,-1.065542027,0.312155978,0.781248631,-4.608757885,,FALSE
MSTRG.11475|CACNB1,-0.119565892,7.773509769,-1.026000177,0.32952804,0.789468151,-4.616707106,,FALSE
MSTRG.3273|WAPL,-0.119593487,4.884486395,-1.088831913,0.302255804,0.777885538,-4.602673929,,FALSE
MSTRG.18673|ZBTB11,-0.119685286,3.999742655,-0.971374575,0.354705259,0.805210691,-4.632660394,,FALSE
MSTRG.2169|TMEM9,-0.119687032,3.973447587,-0.603240963,0.560037566,0.89194508,-4.720819069,,FALSE
MSTRG.7434|DTD2|HEATR5A|RP11-176H8.1,-0.119780417,4.26481285,-0.884994186,0.397335243,0.828252818,-4.661523769,,FALSE
ENSG00000019485,-0.119828964,2.111810306,-0.709498944,0.494534341,0.866130922,-4.641290328,,FALSE
MSTRG.24296|EEF1B2P6,-0.119836957,4.137698239,-0.500867873,0.627511472,0.917067439,-4.744411976,,FALSE
MSTRG.18471|RFT1|RP11-894J14.5|SFMBT1,-0.119926373,4.154337614,-0.925312716,0.37700672,0.814943104,-4.647670976,,FALSE
