ensgene,logFC,AveExpr,t,P.Value,adj.P.Val,B,DEgene,Test
MSTRG.13516|NR2C2AP,0.304670434,1.254294479,0.78526876,0.450846623,0.849537904,-4.619412861,,FALSE
MSTRG.15919|AC096772.6,0.304407088,0.670997338,0.951444423,0.36423404,0.807990602,-4.601440429,,FALSE
MSTRG.11982|TBX2,0.30437962,2.969589047,0.939855687,0.369859314,0.810984482,-4.623138651,,FALSE
MSTRG.22895|NCOA7,0.304239447,2.949689881,1.484219962,0.169158536,0.702808126,-4.496306239,,FALSE
ENSG00000159915,0.304234234,0.165978441,0.975345627,0.352828619,0.804989992,-4.598746428,,FALSE
MSTRG.10829|NLRP1|U7,0.304184539,4.019557721,1.488626521,0.168015173,0.702808126,-4.462506186,,FALSE
ENSG00000198648,0.303826083,1.313754437,1.104759445,0.295625728,0.77651366,-4.58707573,,FALSE
MSTRG.1873|KLHDC9,0.303704143,0.702345362,1.010854414,0.336371272,0.794140295,-4.596416713,,FALSE
MSTRG.11975|RPL23AP74,0.303619819,2.899719575,1.212063844,0.253875166,0.756744413,-4.563028948,,FALSE
MSTRG.22404|C6orf226,0.303341054,0.785787792,1.288083891,0.227272555,0.743352115,-4.568955866,,FALSE
ENSG00000026652,0.303257578,1.502786836,1.019128919,0.33261961,0.791953276,-4.597153768,,FALSE
MSTRG.13843|ARHGEF1,0.303030645,4.005760173,1.661768091,0.12813544,0.676847611,-4.400477414,,FALSE
MSTRG.13435|HAUS8,0.303012925,0.417858312,1.15048778,0.277218008,0.768974461,-4.584557827,,FALSE
MSTRG.23000|RP11-63E9.1,0.302871006,1.401411302,0.686053625,0.508570084,0.873840006,-4.62938973,,FALSE
ENSG00000215190,0.302776102,1.336159692,1.162690161,0.2724617,0.768598808,-4.580001685,,FALSE
ENSG00000123600,0.302751797,2.777173695,0.957718081,0.361214717,0.80684774,-4.614489458,,FALSE
MSTRG.23456|CREB5,0.302746798,3.879004155,1.508235829,0.16300831,0.702808126,-4.467588623,,FALSE
MSTRG.23326|ZNF316,0.302577176,3.860661403,1.96682923,0.078113042,0.671947883,-4.29484416,,FALSE
MSTRG.8980|UBE2Q2,0.302534546,4.568099744,1.746843652,0.111838154,0.676847611,-4.347074755,,FALSE
MSTRG.8759|FBXL22,0.301989822,1.312160229,0.999887514,0.341392137,0.798307981,-4.59888422,,FALSE
ENSG00000083093,0.301884132,1.703610166,1.684671461,0.123549013,0.676847611,-4.493204054,,FALSE
ENSG00000183486,0.301831446,1.521727789,1.105464447,0.295334885,0.776470857,-4.586373184,,FALSE
MSTRG.16318|PRNP,0.301748666,5.172759505,2.208651952,0.052183167,0.645239148,-4.140604082,,FALSE
MSTRG.22772|MICAL1|ZBTB24,0.30168803,3.38439974,1.19655762,0.259599537,0.759797159,-4.563983271,,FALSE
MSTRG.22908|PTPRK,0.301585197,3.297307859,1.791668037,0.104032871,0.676847611,-4.390249781,,FALSE
MSTRG.14673|ZFP36L2,0.301582029,5.339539265,1.801251134,0.102430402,0.676847611,-4.316964655,,FALSE
MSTRG.18927|ASTE1,0.301316688,1.15097296,1.416472467,0.187602559,0.714657902,-4.547142056,,FALSE
MSTRG.5316|TSPAN9,0.301100257,4.26173561,1.714006097,0.117891503,0.676847611,-4.373260901,,FALSE
MSTRG.17902|RP11-1020A11.2,0.301081394,1.052290962,1.095446093,0.299488747,0.776532314,-4.587983131,,FALSE
MSTRG.9609|PMM2|RP11-77H9.2,0.300905589,2.619705834,1.313087115,0.219040977,0.735881988,-4.543248677,,FALSE
MSTRG.2268|RAB29,0.300810002,2.058720944,1.268533297,0.233885537,0.744042011,-4.557326407,,FALSE
MSTRG.26210|PTBP3,0.300514852,3.425200447,2.317937681,0.043397412,0.644422244,-4.219714433,,FALSE
MSTRG.19645|FAM184B,0.300498427,1.334823263,0.65664977,0.526510916,0.880446614,-4.6344037,,FALSE
MSTRG.7729|ZBTB1,0.300419956,4.212836516,1.054557495,0.316910472,0.782346844,-4.610710265,,FALSE
MSTRG.12493|ARHGAP28,0.300388779,2.152744216,0.49545072,0.631192913,0.919072837,-4.659677037,,FALSE
MSTRG.2301|SLC30A1,0.30037192,2.377874688,1.632390009,0.134242335,0.679485393,-4.479036771,,FALSE
MSTRG.2745|NSUN6|RP11-499P20.2,0.299723627,2.414212609,1.717914746,0.117155676,0.676847611,-4.469292931,,FALSE
ENSG00000223773,0.299715976,1.146622012,0.725288764,0.485218149,0.863646689,-4.621639378,,FALSE
MSTRG.13133|C3,0.29969621,5.705245448,1.410247573,0.189380685,0.714657902,-4.481451789,,FALSE
MSTRG.8777|CSNK1G1|CTD-2116N17.1|KIAA0101,0.299440428,2.557813651,1.773773152,0.10708702,0.676847611,-4.441321935,,FALSE
MSTRG.15158|MITD1,0.299288643,2.418144771,1.76126375,0.109270589,0.676847611,-4.454420609,,FALSE
ENSG00000169403,0.299082993,0.222782091,0.817129419,0.433252977,0.84066789,-4.608917084,,FALSE
MSTRG.265|LRRC38,0.298940929,4.169295693,1.106225309,0.295021246,0.776470857,-4.593841698,,FALSE
MSTRG.20030|AC019131.1|EIF4E|TBCAP3,0.298936484,4.221874916,1.498805535,0.165399692,0.702808126,-4.455561826,,FALSE
MSTRG.25974|CTSL,0.298903741,4.802872785,1.734681236,0.1140464,0.676847611,-4.349317441,,FALSE
MSTRG.20314|SH3D19,0.298631809,4.92783672,2.078906505,0.064853079,0.661848022,-4.19801239,,FALSE
MSTRG.20994|RASGRF2,0.298612523,2.937268376,1.183407913,0.264534674,0.763015487,-4.568254449,,FALSE
MSTRG.2294|DIEXF,0.298522237,2.384792076,1.692878599,0.121941929,0.676847611,-4.47502484,,FALSE
MSTRG.17089|SETD4,0.298513579,2.674903776,1.796903201,0.103154622,0.676847611,-4.425867805,,FALSE
MSTRG.5514|EPS8,0.298492912,4.689336664,2.445105562,0.034982602,0.644422244,-4.051206643,,FALSE
MSTRG.14190|TFPT,0.298360857,2.365612732,1.760324683,0.10943614,0.676847611,-4.4528789,,FALSE
MSTRG.13683|Y_RNA|ZNF565,0.298359098,1.24127793,1.260795671,0.236546066,0.744769949,-4.567914408,,FALSE
MSTRG.11544|PTRF,0.29833097,7.346888598,1.974031228,0.077189162,0.671947883,-4.269629658,,FALSE
MSTRG.21507|SPRY4,0.298131791,3.550703832,1.326669056,0.21467434,0.732795978,-4.525280783,,FALSE
MSTRG.19933|SEPT11,0.298074346,4.2749034,2.403604907,0.037535563,0.644422244,-4.101382706,,FALSE
MSTRG.13746|ACTN4,0.297398252,6.11950661,1.157025418,0.274661639,0.768598808,-4.578229634,,FALSE
ENSG00000138439,0.297319105,0.641625792,1.120134526,0.289333145,0.773834301,-4.585967328,,FALSE
MSTRG.4877|TUBAP2,0.297144315,1.808540898,1.199295048,0.258581506,0.759064987,-4.572958201,,FALSE
MSTRG.9634|LITAF,0.297103111,4.299004602,1.183832811,0.264374045,0.763015487,-4.567212627,,FALSE
MSTRG.6003|ARHGEF25,0.296643245,2.81932232,1.36278133,0.20341678,0.727418388,-4.528701595,,FALSE
ENSG00000213064,0.296363189,3.205483955,1.580011126,0.145778535,0.6887693,-4.460259891,,FALSE
MSTRG.17955|IQSEC1,0.296338157,5.596354481,1.959180867,0.079105572,0.67309315,-4.249081749,,FALSE
MSTRG.21584|NDST1,0.296318291,5.057680642,1.099053869,0.297987696,0.776532314,-4.599241657,,FALSE
MSTRG.15755|MFSD6,0.296256978,3.012171838,1.765734033,0.108485646,0.676847611,-4.412794283,,FALSE
MSTRG.23990|PPP1R35,0.296113126,1.111094669,0.987304714,0.347220997,0.801729731,-4.599237458,,FALSE
MSTRG.4420|NAA40,0.296003574,3.204116597,0.675623021,0.514891601,0.8762974,-4.67759858,,FALSE
MSTRG.6614|RP11-463O12.5|VPS37B,0.295958353,2.886998871,1.823540656,0.098790701,0.676847611,-4.408501436,,FALSE
MSTRG.14064|FCGRT,0.29583084,4.90573958,1.879356364,0.090194583,0.676612662,-4.286692042,,FALSE
MSTRG.12387|FASN,0.295736222,3.567722427,1.267404229,0.234272223,0.744042011,-4.543219797,,FALSE
MSTRG.3462|LZTS2,0.295604904,4.819596284,1.613909179,0.138216246,0.683368826,-4.399342321,,FALSE
MSTRG.4481|POLA2,0.295453124,1.971114831,1.241765885,0.243194759,0.749584166,-4.563942713,,FALSE
MSTRG.4088|FANCF,0.295380378,0.505323698,1.082657819,0.304856491,0.780758211,-4.590003944,,FALSE
MSTRG.22343|SRSF3,0.295360488,5.364763446,2.400545069,0.037730885,0.644422244,-4.057018403,,FALSE
MSTRG.8674|ALDH1A2,0.29535351,3.853121693,1.677050386,0.12505844,0.676847611,-4.40023646,,FALSE
MSTRG.19783|DCUN1D4,0.295335189,4.006975104,1.467388167,0.173588213,0.706776875,-4.469686769,,FALSE
MSTRG.5153|VWA5A,0.295325265,1.644384633,0.85429268,0.413320481,0.834418277,-4.615602153,,FALSE
MSTRG.20138|ZGRF1,0.295255356,1.696316605,1.467945839,0.173439856,0.706776875,-4.532304954,,FALSE
MSTRG.23680|AC068533.7|ASL|CRCP,0.295225596,3.68990435,1.318742645,0.217213804,0.734303407,-4.524861398,,FALSE
MSTRG.18393|GNAI2,0.295210909,5.72026672,1.641094686,0.132406224,0.678055766,-4.385912921,,FALSE
MSTRG.24625|TUSC3,0.295179853,2.004785559,1.087998414,0.302605894,0.778163998,-4.588361708,,FALSE
MSTRG.22221|C4A|STK19,0.29514747,2.141357302,0.962128654,0.359102952,0.805762206,-4.60706029,,FALSE
MSTRG.6624|C12orf65,0.295073031,2.701565912,1.457663862,0.176192855,0.706776875,-4.505338783,,FALSE
MSTRG.9513|RP11-473M20.9,0.29504225,0.353296613,0.928776315,0.37529557,0.814070905,-4.602944932,,FALSE
ENSG00000117425,0.294987365,1.512874082,1.296049791,0.22462268,0.742398584,-4.560534839,,FALSE
MSTRG.1780|RUSC1,0.29488584,3.275387139,1.817979289,0.09968749,0.676847611,-4.385657534,,FALSE
MSTRG.21428|DNAJC18|ECSCR,0.294847376,4.221820353,2.115535531,0.061004924,0.659130686,-4.207373234,,FALSE
MSTRG.23347|ICA1,0.294763859,1.805402143,1.21675618,0.252163095,0.756019268,-4.569111279,,FALSE
MSTRG.11572|RAMP2,0.294656292,3.31421087,1.843447673,0.09564136,0.676612662,-4.37105984,,FALSE
MSTRG.22531|BMP5,0.294386508,2.574312513,1.233055634,0.246288349,0.751197644,-4.560328619,,FALSE
MSTRG.1540|NBPF11,0.294287371,2.636418051,1.563230702,0.149656073,0.693145225,-4.483497816,,FALSE
MSTRG.13872|IRGQ|L34079.2|XRCC1,0.294274819,4.804324818,2.427969781,0.03601532,0.644422244,-4.054106988,,FALSE
ENSG00000134874,0.294169847,1.741035657,1.36166744,0.203756451,0.727492211,-4.548242227,,FALSE
MSTRG.11638|DCAKD,0.293993376,2.508382368,1.796856865,0.103162365,0.676847611,-4.444502662,,FALSE
MSTRG.23859|KIAA1324L,0.293936194,2.753766087,1.765748685,0.108483081,0.676847611,-4.441840725,,FALSE
MSTRG.2071|ANGPTL1,0.293858166,4.75799292,2.212386209,0.051856352,0.645239148,-4.151152326,,FALSE
MSTRG.4903|FUT4|PIWIL4,0.293745385,1.244400498,1.457421112,0.176258304,0.706776875,-4.542769763,,FALSE
MSTRG.2515|NID1,0.293670421,5.110364963,1.563382561,0.149620577,0.693145225,-4.418233172,,FALSE
MSTRG.7109|ABCC4,0.2933405,2.564506618,0.992102608,0.344989812,0.799818907,-4.607146546,,FALSE
MSTRG.16998|APP,0.293306831,6.594013388,2.040997804,0.069078841,0.661848022,-4.22675266,,FALSE
MSTRG.10332|CHTF8,0.293230325,3.660091108,0.842288225,0.419689413,0.836011641,-4.657367591,,FALSE
MSTRG.2470|C1orf198,0.293222524,4.359535598,1.339928246,0.210481791,0.730565155,-4.512310888,,FALSE
MSTRG.19683|SEPSECS,0.293213313,2.714379363,1.302945465,0.222349507,0.738286706,-4.542742614,,FALSE
MSTRG.20452|RP11-326I11.3,0.293116806,0.538246187,1.107055142,0.294679472,0.776470857,-4.587591611,,FALSE
MSTRG.5542|AEBP2,0.292914558,2.770095091,0.874655186,0.402669643,0.830689209,-4.629931576,,FALSE
MSTRG.4441|GPR137,0.292801895,2.504936347,1.421505491,0.186175335,0.712583051,-4.522749099,,FALSE
ENSG00000113966,0.292727795,0.421962419,0.862406441,0.409053482,0.833158827,-4.607980608,,FALSE
MSTRG.24258|SMO,0.292605587,1.91006256,1.094557695,0.299859269,0.776532314,-4.587360331,,FALSE
MSTRG.24485|CHPF2|MIR671,0.292584142,2.57467187,1.074729232,0.3082214,0.780992218,-4.591685992,,FALSE
MSTRG.20209|FAT4,0.292515039,3.25951835,1.846250954,0.095205411,0.676612662,-4.371786035,,FALSE
MSTRG.11795|FAM117A,0.29242148,1.838250118,1.089118542,0.302135485,0.777885538,-4.588218072,,FALSE
MSTRG.18349|DALRD3,0.292289755,2.121293799,1.066964268,0.31154438,0.781248631,-4.591574303,,FALSE
ENSG00000119661,0.292278924,2.199448665,1.326647953,0.214681068,0.732795978,-4.545870275,,FALSE
MSTRG.19578|BLOC1S4,0.292081541,1.497655821,1.307771181,0.220770069,0.736486103,-4.559850104,,FALSE
MSTRG.5002|TIMM8B,0.292021259,5.071369726,1.368922782,0.201552557,0.725915879,-4.49798059,,FALSE
MSTRG.5159|ESAM,0.291981701,4.721540155,1.842799175,0.095742473,0.676612662,-4.303727066,,FALSE
ENSG00000158079,0.291548575,2.257415182,1.103738102,0.296047469,0.77651366,-4.58579631,,FALSE
MSTRG.26669|MT-ATP6|MT-ATP8|MT-CO3,0.291506463,14.91666952,1.28761114,0.227430624,0.743352115,-4.54418641,,FALSE
MSTRG.21950|RP1-257A7.4|TBC1D7,0.291422417,2.576291551,1.955096509,0.079640446,0.674032137,-4.402602619,,FALSE
ENSG00000136048,0.291370706,1.353095524,0.693968448,0.503804873,0.870638604,-4.630321386,,FALSE
MSTRG.1700|NPR1,0.291315853,3.541586179,1.41490763,0.188048204,0.714657902,-4.499326218,,FALSE
MSTRG.3738|BET1L,0.291297743,3.316249879,0.740734485,0.476212289,0.860056103,-4.676838462,,FALSE
MSTRG.4302|C11orf31|CTNND1|RP11-691N7.6|TMX2|TMX2-CTNND1,0.291104802,6.505021934,1.937298809,0.082011073,0.675175838,-4.268511885,,FALSE
MSTRG.6151|CSRP2,0.290940092,1.859670473,0.993264118,0.344451266,0.799424959,-4.60147334,,FALSE
MSTRG.25333|SNTB1,0.290910388,4.977928005,1.919811647,0.084404657,0.675175838,-4.26614451,,FALSE
ENSG00000180190,0.290895356,1.043857826,1.249191702,0.240582395,0.748372837,-4.570774763,,FALSE
MSTRG.27445|ATP11C,0.290870991,1.601282932,0.840391613,0.420701743,0.836592495,-4.618771626,,FALSE
MSTRG.12132|KCNJ2-AS1,0.290853833,2.323695816,1.478276492,0.170711374,0.703398645,-4.517320633,,FALSE
MSTRG.20257|ELMOD2,0.290841377,2.664844202,1.946293282,0.080804865,0.674862856,-4.38973072,,FALSE
MSTRG.22351|PIM1,0.290605491,3.216274659,1.23944264,0.244016791,0.749584166,-4.556202081,,FALSE
MSTRG.26269|GGTA1P,0.290585277,1.454200899,0.761051679,0.464528921,0.855036212,-4.625388591,,FALSE
MSTRG.23553|AMPH,0.290566294,1.224701655,1.170941763,0.269282157,0.766111605,-4.578730699,,FALSE
ENSG00000006756,0.290028328,0.955696576,1.077641704,0.306982047,0.780992218,-4.590160353,,FALSE
MSTRG.9846|LCMT1-AS1,0.289956874,-0.072617957,0.628610978,0.543962996,0.885882621,-4.616973356,,FALSE
MSTRG.3173|NDST2|RP11-574K11.31|ZSWIM8-AS1,0.289733813,3.311651977,1.713363171,0.118012939,0.676847611,-4.414102271,,FALSE
ENSG00000154678,0.289388667,0.363581153,0.574070234,0.578845586,0.897965415,-4.625504491,,FALSE
MSTRG.4615|ANO1,0.289328889,3.710649065,1.731671183,0.114599011,0.676847611,-4.382935649,,FALSE
MSTRG.5393|CLSTN3,0.289268452,1.744747382,0.985251697,0.348178964,0.802184057,-4.601784165,,FALSE
MSTRG.13531|ZNF253,0.289210257,2.901160882,0.770266901,0.459291105,0.852808357,-4.656504817,,FALSE
MSTRG.19238|TNFSF10,0.289071438,4.377520915,1.783800734,0.105365612,0.676847611,-4.336976308,,FALSE
MSTRG.27366|TENM1,0.289031655,1.819926785,1.580373397,0.145695812,0.6887693,-4.510819062,,FALSE
MSTRG.5660|RP11-467L13.7,0.288978626,0.473845049,1.069405756,0.310496619,0.781248631,-4.591236755,,FALSE
MSTRG.20844|NLN,0.288923376,4.822816456,1.182088316,0.265034036,0.763136713,-4.56923283,,FALSE
MSTRG.718|CAP1,0.288359657,4.876174716,1.829904739,0.097773613,0.676612662,-4.308326697,,FALSE
MSTRG.16236|SEPT2,0.288195022,6.745384767,1.142699338,0.280287932,0.771493702,-4.582172393,,FALSE
MSTRG.26990|RP11-258C19.7,0.288152671,2.929752866,1.373879467,0.200058504,0.725030589,-4.523925457,,FALSE
MSTRG.14163|ZNF766,0.288001791,2.371943982,1.495753004,0.16618029,0.702808126,-4.507865713,,FALSE
ENSG00000189042,0.287909689,0.802490528,1.058651195,0.315132175,0.781961068,-4.592107749,,FALSE
MSTRG.13320|JUNB,0.287887238,5.382847275,0.379397897,0.712476512,0.94060547,-4.783922228,,FALSE
ENSG00000066735,0.28753621,1.832309003,1.38443851,0.196906982,0.723038631,-4.540399364,,FALSE
MSTRG.3312|FAS,0.287524305,1.7144589,1.201479672,0.25777136,0.759064987,-4.572454405,,FALSE
MSTRG.8444|CHP1,0.287361646,4.749826366,0.484909311,0.638387163,0.922118525,-4.764962651,,FALSE
MSTRG.4286|TNKS1BP1,0.287147774,5.163237146,1.368665534,0.201630354,0.725915879,-4.497980199,,FALSE
MSTRG.22271|TAPBP,0.287061873,4.304042385,0.92755896,0.375896355,0.814509064,-4.649628424,,FALSE
MSTRG.2827|ZEB1-AS1,0.287039428,1.648903608,1.114827021,0.291493457,0.774952378,-4.58533805,,FALSE
MSTRG.18130|ARPP21,0.287037231,5.294522187,1.448907436,0.178567041,0.708141541,-4.46620137,,FALSE
MSTRG.14887|ANXA4,0.28679629,3.37888073,1.489084721,0.167896671,0.702808126,-4.482714147,,FALSE
MSTRG.20001|SPARCL1,0.286692853,7.830135021,2.059021026,0.067038092,0.661848022,-4.246584409,,FALSE
MSTRG.24856|PLAT,0.286674018,3.229749331,1.225589654,0.24896537,0.753150064,-4.555898958,,FALSE
MSTRG.4587|PITPNM1,0.286616866,2.740056705,1.040561757,0.323047773,0.785709891,-4.597723921,,FALSE
MSTRG.15014|TCF7L1,0.286485473,2.999776827,1.30452541,0.221831369,0.738114201,-4.539015419,,FALSE
MSTRG.11008|AC093484.4|TRPV2,0.286421194,1.361480353,0.597420867,0.563762587,0.892616286,-4.635128434,,FALSE
ENSG00000104497,0.286273132,1.761321506,1.429393466,0.183957222,0.711173769,-4.534116261,,FALSE
MSTRG.15667|AC009948.5,0.286127406,0.981605546,0.755234196,0.467855267,0.856487855,-4.62093026,,FALSE
MSTRG.22213|EHMT2,0.286060524,2.97321473,1.266889351,0.234448734,0.744042011,-4.546565125,,FALSE
MSTRG.12274|SOCS3,0.286003409,3.901595269,0.409784047,0.69077017,0.934356899,-4.727565458,,FALSE
MSTRG.23556|AC004837.3|YAE1D1,0.28575631,1.916322719,1.49270124,0.166963894,0.702808126,-4.523498956,,FALSE
MSTRG.6835|STARD13,0.285735831,3.275754453,1.489779562,0.167717106,0.702808126,-4.485551483,,FALSE
MSTRG.2332|KCTD3,0.285605133,3.776469969,2.453899342,0.034464018,0.644422244,-4.124361509,,FALSE
MSTRG.11660|PLEKHM1,0.285563049,3.62693682,1.2417678,0.243194082,0.749584166,-4.549849873,,FALSE
MSTRG.16632|SNHG17|SNORA71,0.285241062,1.705502203,1.200522293,0.258126143,0.759064987,-4.57396672,,FALSE
MSTRG.14467|ADCY3,0.285096684,3.146761808,1.53606068,0.156127527,0.696589983,-4.472695636,,FALSE
MSTRG.5091|MIR6716|PHLDB1,0.284988353,5.876275077,2.319701578,0.04326814,0.644422244,-4.096065668,,FALSE
MSTRG.24495|PRKAG2,0.284693724,3.594277449,1.868745779,0.09177328,0.676612662,-4.359824796,,FALSE
MSTRG.10853|DLG4,0.284501733,2.46009175,1.289167339,0.226910633,0.743218199,-4.550935963,,FALSE
MSTRG.12840|SEC11C,0.284469208,2.296543386,1.598978211,0.141503098,0.684628847,-4.494823603,,FALSE
MSTRG.3830|TSSC4,0.284464158,3.216108808,1.339118448,0.210735869,0.730565155,-4.526390791,,FALSE
MSTRG.19495|PIGG,0.284428288,3.43805921,1.40259967,0.191584955,0.717029695,-4.503599783,,FALSE
MSTRG.14421|GEN1,0.284277583,2.456555684,1.314605937,0.218549029,0.735623569,-4.54259542,,FALSE
ENSG00000081237,0.28404842,1.303009891,0.696642963,0.502200841,0.870180142,-4.626626992,,FALSE
MSTRG.11500|MSL1,0.283975264,5.390416818,1.594836559,0.142427061,0.684628847,-4.404815274,,FALSE
MSTRG.5308|RHNO1|TULP3,0.283669732,3.631806834,1.657588601,0.128988737,0.676847611,-4.41577078,,FALSE
ENSG00000113273,0.28358771,2.285161085,1.703177475,0.119952009,0.676847611,-4.469742316,,FALSE
ENSG00000179855,0.283523384,1.228001399,1.212144302,0.25384573,0.756744413,-4.572861011,,FALSE
MSTRG.22956|AHI1,0.283516904,2.847095094,1.753351116,0.110672723,0.676847611,-4.433330718,,FALSE
ENSG00000166106,0.283378261,2.20143443,0.985331945,0.348141482,0.802184057,-4.605413648,,FALSE
MSTRG.21317|SEPT8,0.282796363,3.815540199,1.925060149,0.083679476,0.675175838,-4.315157219,,FALSE
MSTRG.24672|SORBS3,0.282781939,4.844574893,1.585557951,0.144516505,0.688754957,-4.410532334,,FALSE
MSTRG.18122|CRTAP,0.282662095,6.067239691,1.805724492,0.101690177,0.676847611,-4.318701524,,FALSE
MSTRG.19167|MFSD1|RP11-379F4.4,0.282657993,3.558077933,1.607966444,0.139516224,0.684180453,-4.436370327,,FALSE
MSTRG.17296|CLDN5,0.282349843,2.89698509,0.669730858,0.518483403,0.877800619,-4.673163143,,FALSE
MSTRG.22256|HLA-DPB1,0.282291016,4.178960794,1.757543478,0.109927794,0.676847611,-4.359404044,,FALSE
MSTRG.10978|CDRT4|TVP23C|TVP23C-CDRT4,0.282266502,2.263095867,1.412034982,0.188868649,0.714657902,-4.529828145,,FALSE
ENSG00000166450,0.2818703,0.73893186,0.905115811,0.387095656,0.822808018,-4.605774963,,FALSE
MSTRG.1535|BCL9,0.281792632,3.32163654,1.845809754,0.095273901,0.676612662,-4.374772865,,FALSE
ENSG00000102743,0.28177132,0.837518273,0.82776911,0.427481359,0.839749762,-4.615085614,,FALSE
MSTRG.16119|PTMA|U4,0.281667737,5.938212349,1.71344177,0.117998087,0.676847611,-4.356119897,,FALSE
MSTRG.22767|CD164,0.281526218,5.669117676,1.658662398,0.128769022,0.676847611,-4.37883095,,FALSE
MSTRG.18360|LAMB2,0.281016004,7.03340489,1.841199659,0.095992291,0.676612662,-4.317413896,,FALSE
MSTRG.26671|MT-ND3,0.280956869,11.48030015,0.895924315,0.391749759,0.825452087,-4.638155753,,FALSE
ENSG00000174951,0.280946269,1.138694093,0.869608359,0.405291546,0.832265509,-4.61127055,,FALSE
MSTRG.4311|DTX4,0.280906595,1.231865122,0.514451617,0.618327403,0.91431924,-4.646100472,,FALSE
MSTRG.18417|RAD54L2|TEX264,0.280818947,4.575497238,2.338609981,0.041905799,0.644422244,-4.100337075,,FALSE
MSTRG.19892|COX18,0.280768189,3.195376018,2.101343298,0.06246929,0.65995621,-4.305725662,,FALSE
MSTRG.11536|GHDC,0.280727394,1.794625026,0.947637997,0.366074846,0.808466492,-4.606466464,,FALSE
MSTRG.3010|MRLN,0.280723721,4.507819115,1.696442376,0.121249991,0.676847611,-4.374001071,,FALSE
MSTRG.19087|COMMD2,0.280649478,3.319205862,2.105414664,0.0620458,0.65995621,-4.299967233,,FALSE
MSTRG.21132|C5orf30,0.280591242,2.234163361,1.286179281,0.227909937,0.743664849,-4.551136552,,FALSE
MSTRG.14181|ZNF160,0.280412026,3.294819583,1.9908068,0.075076944,0.670138787,-4.329400841,,FALSE
MSTRG.8485|STARD9,0.280038599,4.292103486,1.826896512,0.098253167,0.676847611,-4.319840679,,FALSE
MSTRG.23164|RSPH3,0.280026728,1.249804339,1.285623576,0.228096182,0.743664849,-4.565062905,,FALSE
ENSG00000138131,0.279914899,1.402868479,0.796626351,0.44452164,0.845215466,-4.619416656,,FALSE
ENSG00000142347,0.279904633,0.82238111,0.620653039,0.548976464,0.887345158,-4.627637643,,FALSE
MSTRG.815|AKR1A1,0.279849747,3.784263601,1.91164688,0.085544473,0.675175838,-4.328899309,,FALSE
MSTRG.4094|FIBIN,0.279795876,1.402904716,0.627830219,0.544453702,0.886069197,-4.632203787,,FALSE
MSTRG.4516|CCDC85B,0.279792394,3.126675333,1.387286463,0.196064201,0.722393923,-4.516093887,,FALSE
MSTRG.20997|CKMT2-AS1,0.279689847,0.522986031,0.985703375,0.347968037,0.802184057,-4.598340342,,FALSE
MSTRG.2624|AKR1C2|AKR1C5P,0.279500184,4.586885137,1.035999086,0.325067854,0.786935098,-4.61763761,,FALSE
MSTRG.25458|GPIHBP1,0.279217124,4.106967589,1.687737268,0.122946455,0.676847611,-4.380777353,,FALSE
ENSG00000163848,0.279093615,3.912694917,1.436696293,0.181923885,0.711173769,-4.483100706,,FALSE
ENSG00000187091,0.278852123,1.890471223,1.501845343,0.164625524,0.702808126,-4.523013029,,FALSE
MSTRG.15517|AC009506.1,0.27884954,1.973808686,1.4836542,0.169305822,0.702808126,-4.520143581,,FALSE
ENSG00000166881,0.278807807,1.976611259,1.578977714,0.146014736,0.6887693,-4.504251399,,FALSE
ENSG00000138660,0.278770722,2.421037612,2.019964802,0.071534959,0.661848022,-4.394044988,,FALSE
MSTRG.13146|C19orf45|CTD-2207O23.12|ZNF358,0.278738847,5.789371647,0.889636191,0.394956328,0.827184951,-4.666798817,,FALSE
MSTRG.20454|PRIMPOL,0.278318215,2.051620789,1.225261992,0.249083395,0.753150064,-4.566585855,,FALSE
MSTRG.25362|RNF139-AS1,0.277751782,0.281185281,0.73023415,0.482323079,0.863228579,-4.6155249,,FALSE
MSTRG.25808|RECK,0.277742239,2.973189909,1.596925445,0.141960383,0.684628847,-4.466311532,,FALSE
MSTRG.4673|FCHSD2,0.277727903,3.432428037,1.666398883,0.127195936,0.676847611,-4.423690412,,FALSE
MSTRG.24015|PLOD3,0.277439504,3.100382704,1.262750168,0.235871697,0.744280926,-4.548647681,,FALSE
MSTRG.26865|RPGR,0.277312173,2.053594133,1.336216886,0.211648358,0.730565155,-4.547608503,,FALSE
MSTRG.17847|ITPR1,0.276960034,2.640400945,1.186300832,0.263442566,0.761964249,-4.569261675,,FALSE
ENSG00000174640,0.27693186,0.885782642,0.803609938,0.440661774,0.842957027,-4.613605728,,FALSE
MSTRG.5706|PLEKHA8P1,0.276761658,-0.001758922,0.772778006,0.457870492,0.852445172,-4.611831253,,FALSE
MSTRG.21569|TIGD6,0.276592249,1.169760994,1.323089053,0.215818218,0.732949304,-4.561987972,,FALSE
ENSG00000254838,0.276529239,0.40263439,0.713949389,0.491897346,0.86507124,-4.619338746,,FALSE
MSTRG.22164|HLA-B|HLA-C,0.27651114,7.18710762,1.288943156,0.226985482,0.743218199,-4.530902607,,FALSE
MSTRG.10315|PRMT7,0.276504823,4.342174437,1.336787186,0.211468748,0.730565155,-4.514603348,,FALSE
MSTRG.20163|SNHG8|SNORA24,0.276439717,3.702294879,0.730980561,0.481887071,0.863037276,-4.6791919,,FALSE
